Geography,Year,Dependent,Count,2021 Total,2016 Total
Kootenay Boundary,2021,Youth,32,83,78
Kootenay Boundary,2021,Senior,51,83,78
Fraser-Fort George,2021,Youth,37,65,61
Fraser-Fort George,2021,Senior,27,65,61
East Kootenay,2021,Youth,36,74,69
East Kootenay,2021,Senior,39,74,69
Columbia-Shuswap,2021,Youth,33,81,75
Columbia-Shuswap,2021,Senior,48,81,75
Central Kootenay,2021,Youth,33,81,74
Central Kootenay,2021,Senior,48,81,74
British Columbia,2021,Youth,32,66,63
British Columbia,2021,Senior,34,66,63
Canal Flats,2021,Youth,35,76,69
Castlegar,2021,Youth,36,81,75
Central Kootenay A,2021,Youth,23,93,78
Central Kootenay B,2021,Youth,43,100,98
Central Kootenay C,2021,Youth,35,101,86
Central Kootenay D,2021,Youth,27,86,76
Central Kootenay E,2021,Youth,31,79,66
Central Kootenay F,2021,Youth,35,74,67
Central Kootenay G,2021,Youth,33,63,55
Central Kootenay H,2021,Youth,33,70,64
Central Kootenay I,2021,Youth,31,65,62
Central Kootenay J,2021,Youth,33,67,60
Central Kootenay K,2021,Youth,25,95,77
Columbia-Shuswap A,2021,Youth,27,57,53
Columbia-Shuswap B,2021,Youth,25,58,47
Cranbrook,2021,Youth,35,78,75
Creston,2021,Youth,35,119,108
East Kootenay A,2021,Youth,36,66,62
East Kootenay B,2021,Youth,34,81,66
East Kootenay C,2021,Youth,37,79,66
East Kootenay E,2021,Youth,30,84,71
East Kootenay F,2021,Youth,27,84,71
East Kootenay G,2021,Youth,31,74,62
Elkford,2021,Youth,44,64,57
Fernie,2021,Youth,35,57,56
Fraser-Fort George H,2021,Youth,34,82,74
Fruitvale,2021,Youth,33,82,76
Golden,2021,Youth,31,56,57
Grand Forks,2021,Youth,33,103,100
Greenwood,2021,Youth,27,114,106
Invermere,2021,Youth,40,85,73
Kaslo,2021,Youth,31,104,88
Kimberley,2021,Youth,38,81,76
Kootenay Boundary A,2021,Youth,33,73,63
Kootenay Boundary B,2021,Youth,24,73,62
Kootenay Boundary C,2021,Youth,25,101,96
Kootenay Boundary D,2021,Youth,31,94,86
Kootenay Boundary E,2021,Youth,29,68,72
Midway,2021,Youth,23,115,122
Montrose,2021,Youth,41,85,74
Nakusp,2021,Youth,32,95,88
Nelson,2021,Youth,31,65,65
New Denver,2021,Youth,29,137,109
Radium Hot Springs,2021,Youth,25,69,64
Revelstoke,2021,Youth,30,50,53
Rossland,2021,Youth,39,66,59
Salmo,2021,Youth,32,82,86
Silverton,2021,Youth,20,113,73
Slocan,2021,Youth,41,95,x
Sparwood,2021,Youth,41,64,59
Trail,2021,Youth,31,82,82
Valemount,2021,Youth,32,68,63
Warfield,2021,Youth,38,78,68
Canal Flats,2021,Senior,41,76,69
Castlegar,2021,Senior,45,81,75
Central Kootenay A,2021,Senior,70,93,78
Central Kootenay B,2021,Senior,57,100,98
Central Kootenay C,2021,Senior,66,101,86
Central Kootenay D,2021,Senior,59,86,76
Central Kootenay E,2021,Senior,48,79,66
Central Kootenay F,2021,Senior,39,74,67
Central Kootenay G,2021,Senior,30,63,55
Central Kootenay H,2021,Senior,38,70,64
Central Kootenay I,2021,Senior,35,65,62
Central Kootenay J,2021,Senior,34,67,60
Central Kootenay K,2021,Senior,70,95,77
Columbia-Shuswap A,2021,Senior,30,57,53
Columbia-Shuswap B,2021,Senior,33,58,47
Cranbrook,2021,Senior,42,78,75
Creston,2021,Senior,84,119,108
East Kootenay A,2021,Senior,30,66,62
East Kootenay B,2021,Senior,47,81,66
East Kootenay C,2021,Senior,41,79,66
East Kootenay E,2021,Senior,54,84,71
East Kootenay F,2021,Senior,57,84,71
East Kootenay G,2021,Senior,43,74,62
Elkford,2021,Senior,20,64,57
Fernie,2021,Senior,23,57,56
Fraser-Fort George H,2021,Senior,48,82,74
Fruitvale,2021,Senior,49,82,76
Golden,2021,Senior,25,56,57
Grand Forks,2021,Senior,71,103,100
Greenwood,2021,Senior,86,114,106
Invermere,2021,Senior,45,85,73
Kaslo,2021,Senior,73,104,88
Kimberley,2021,Senior,43,81,76
Kootenay Boundary A,2021,Senior,40,73,63
Kootenay Boundary B,2021,Senior,49,73,62
Kootenay Boundary C,2021,Senior,75,101,96
Kootenay Boundary D,2021,Senior,64,94,86
Kootenay Boundary E,2021,Senior,39,68,72
Midway,2021,Senior,92,115,122
Montrose,2021,Senior,44,85,74
Nakusp,2021,Senior,62,95,88
Nelson,2021,Senior,34,65,65
New Denver,2021,Senior,107,137,109
Radium Hot Springs,2021,Senior,44,69,64
Revelstoke,2021,Senior,21,50,53
Rossland,2021,Senior,27,66,59
Salmo,2021,Senior,50,82,86
Silverton,2021,Senior,93,113,73
Slocan,2021,Senior,54,95,x
Sparwood,2021,Senior,23,64,59
Trail,2021,Senior,51,82,82
Valemount,2021,Senior,35,68,63
Warfield,2021,Senior,41,78,68
