Geography,Total census families,Couple families,Lone-parent families,Individuals (persons not in census families),Average size of census families
British Columbia,1399405,1190930,208475,1018030,2.8
Central Kootenay,18120,15500,2620,13590,2.6
Columbia-Shuswap,16985,15015,1975,11190,2.6
East Kootenay,19465,17000,2465,11940,2.7
Fraser-Fort George,27080,22305,4770,19900,2.8
Kootenay Boundary,9745,8445,1300,6905,2.6
Canal Flats,250,230,25,130,2.7
Castlegar,2370,1980,395,1670,2.7
Central Kootenay A,710,655,55,470,2.4
Central Kootenay B,1415,1230,185,825,2.8
Central Kootenay C,465,425,40,245,2.6
Central Kootenay D,430,375,55,345,2.5
Central Kootenay E,1170,1020,150,880,2.6
Central Kootenay F,1250,1125,125,730,2.7
Central Kootenay G,475,405,70,370,2.7
Central Kootenay H,1495,1265,235,1060,2.6
Central Kootenay I,790,705,90,490,2.7
Central Kootenay J,1075,940,140,555,2.7
Central Kootenay K,585,545,40,355,2.4
Columbia-Shuswap A,1010,920,90,670,2.6
Columbia-Shuswap B,190,175,10,160,2.6
Cranbrook,5870,4920,955,4035,2.7
Creston,1610,1370,250,1290,2.5
East Kootenay A,580,510,70,290,2.7
East Kootenay B,640,580,55,275,2.6
East Kootenay C,2060,1865,195,835,2.7
East Kootenay E,540,500,45,280,2.5
East Kootenay F,1080,1015,70,660,2.6
East Kootenay G,530,470,65,290,2.6
Elkford,790,680,105,455,2.9
Fernie,1785,1610,170,1240,2.8
Fraser-Fort George H,480,435,45,260,2.7
Fruitvale,600,520,85,315,2.6
Golden,1100,935,160,935,2.7
Grand Forks,1175,975,205,890,2.6
Greenwood,205,175,30,210,2.4
Invermere,1095,945,150,790,2.7
Kaslo,310,260,45,260,2.5
Kimberley,2420,2105,315,1460,2.7
Kootenay Boundary A,520,480,45,225,2.7
Kootenay Boundary B,475,440,35,240,2.5
Kootenay Boundary C,525,470,50,325,2.4
Kootenay Boundary D,1025,940,85,580,2.6
Kootenay Boundary E,855,775,80,710,2.6
Midway,205,175,30,145,2.4
Montrose,320,280,40,135,2.7
Nakusp,460,400,60,375,2.6
Nelson,2870,2315,555,3070,2.7
New Denver,135,110,25,145,2.4
Radium Hot Springs,420,380,40,260,2.5
Revelstoke,2300,2020,280,1965,2.7
Rossland,1215,1075,135,735,2.8
Salmo,320,265,60,300,2.6
Silverton,45,45,5,35,2.3
Slocan,105,75,30,100,2.7
Sparwood,1200,1035,160,745,2.8
Trail,2120,1700,420,2045,2.6
Valemount,290,235,50,275,2.6
Warfield,505,450,60,350,2.7
