Geography,Married couples with children,Common-law couples with children,Parents in one-parent families,Total children,Children in two-parent families,Children in one-parent families,Average number of children
British Columbia,496240,64570,208475,1307575,1001235,306340,1.7
Central Kootenay,4280,1330,2625,13970,10015,3950,1.7
Columbia-Shuswap,4300,1025,1970,12585,9655,2930,1.7
East Kootenay,5450,1335,2465,16010,12315,3695,1.7
Fraser-Fort George,8070,2065,4775,26015,18685,7335,1.7
Kootenay Boundary,2380,645,1300,7310,5405,1900,1.7
Canal Flats,50,35,20,190,155,35,1.8
Castlegar,640,180,390,2040,1455,585,1.7
Central Kootenay A,120,35,60,355,270,90,1.7
Central Kootenay B,330,55,185,1255,855,405,2.2
Central Kootenay C,95,20,45,315,250,60,2
Central Kootenay D,65,40,55,270,190,80,1.7
Central Kootenay E,250,90,145,805,605,205,1.7
Central Kootenay F,370,110,125,1005,830,180,1.7
Central Kootenay G,110,50,70,400,275,120,1.7
Central Kootenay H,330,165,230,1175,850,325,1.6
Central Kootenay I,210,70,90,625,495,125,1.7
Central Kootenay J,305,80,140,895,690,200,1.7
Central Kootenay K,100,30,40,275,225,50,1.6
Columbia-Shuswap A,225,85,85,655,535,120,1.6
Columbia-Shuswap B,55,15,15,135,115,25,1.7
Cranbrook,1620,355,955,5020,3575,1440,1.7
Creston,325,75,250,1100,720,380,1.7
East Kootenay A,170,40,65,480,380,100,1.8
East Kootenay B,150,45,55,415,345,70,1.7
East Kootenay C,630,105,195,1670,1385,285,1.8
East Kootenay E,125,35,45,340,275,65,1.7
East Kootenay F,260,45,70,680,580,100,1.8
East Kootenay G,105,45,60,350,270,85,1.7
Elkford,250,80,105,815,635,185,1.9
Fernie,590,110,170,1535,1280,260,1.8
Fraser-Fort George H,125,35,45,375,315,60,1.8
Fruitvale,160,45,80,460,345,115,1.6
Golden,325,95,165,930,690,240,1.6
Grand Forks,225,75,200,845,550,300,1.7
Greenwood,25,15,30,110,65,40,1.6
Invermere,325,75,145,960,725,230,1.8
Kaslo,50,25,45,190,130,60,1.6
Kimberley,665,190,320,1960,1480,480,1.7
Kootenay Boundary A,140,30,40,385,315,65,1.8
Kootenay Boundary B,95,30,40,260,215,45,1.7
Kootenay Boundary C,105,25,55,280,210,70,1.5
Kootenay Boundary D,240,60,90,670,550,120,1.7
Kootenay Boundary E,210,65,75,620,505,115,1.8
Midway,35,5,30,100,65,40,1.5
Montrose,95,20,45,280,215,65,1.8
Nakusp,95,30,65,315,220,95,1.7
Nelson,765,225,555,2475,1670,805,1.6
New Denver,15,10,25,75,45,35,1.6
Radium Hot Springs,85,35,45,240,185,55,1.5
Revelstoke,660,200,285,1900,1490,415,1.7
Rossland,410,90,140,1110,900,215,1.7
Salmo,65,30,55,245,165,80,1.6
Silverton,5,0,5,15,10,5,1.5
Slocan,20,15,25,100,55,40,1.6
Sparwood,385,110,165,1170,915,250,1.8
Trail,490,150,420,1745,1125,620,1.7
Valemount,60,30,55,240,165,70,1.7
Warfield,145,45,60,435,345,90,1.7
